OYear,PID,WeightedAverage
2011,8,0.05729
2011,9,0.05956622965289145
2011,11,0.057342806016853105
2011,12,0.023360000000000002
2011,13,0.02773091186188464
2011,14,0.0233
2011,15,0.027946428571428573
2011,17,0.030083521355341803
2011,19,0.02622843036793999
2011,20,0.0067800000000000004
2011,21,0.014907484062121515
2011,22,0.0123
2011,23,0.014926814193176194
2011,24,0.643
2011,26,0.05119635450491406
2011,33,0.02440289129007792
2011,34,0.00417
2011,36,0.09596052767718571
2011,37,0.145809907082605
2011,39,1.5892820822251823
2011,40,0.8931770731707316
2011,41,0.5967872948688817
2011,42,6.87414141045045
2011,43,0.03299790563006797
2011,56,0.017225266685828636
2011,59,8.0
2011,60,0.051254041835190195
2011,61,0.0804406502372825
2011,62,1.262464551616133
2011,65,0.041391867638810996
2011,75,0.019877763897564023
2011,84,1.8396693433678268
2011,88,4.25
2011,89,0.6181867780544623
2011,90,1.6323074627940595
2011,92,0.0510308162374509
2011,93,23.86520574077771
2011,94,0.08694088014981272
2011,96,0.016427042020774316
2011,97,0.013019922135706338
2011,98,0.0403
2011,103,0.1356839953271028
2011,105,0.15314223919343156
2011,106,1.2200576128704979
2011,110,0.004765260700389105
2011,118,0.030881657466284677
2011,121,0.026333333333333334
2011,122,0.035333333333333335
2011,125,0.29375
2011,127,0.0315439275416685
2011,128,0.01785415049171843
2011,130,0.03422038477982044
2011,135,0.032
2011,136,0.03536631422087488
2011,139,0.016543794378725767
2011,140,0.06999999999999999
2011,141,0.07855555555555556
2011,142,0.6422222222222221
2011,143,0.07722222222222222
2011,144,0.06388888888888888
2011,566,0.023111111111111114
2011,567,0.034777777777777776
2011,568,0.023111111111111114
2011,583,2.539201886964995
2011,585,0.057
2011,586,0.012777779587847194
2011,591,1.5
2011,593,0.12866960202967814
2011,598,0.14877303628847038
2011,607,0.013888888888888888
2011,622,1.6665999999999999
2011,623,0.6805521027350261
2011,625,92.61
2011,638,0.0897778277490443
2011,640,0.34693444889773706
2011,641,1.0
2011,645,0.58
2011,646,0.0326
2011,654,0.030029761904761903
2011,671,1.45
2011,672,0.06855555555555555
2011,673,0.07066666666666667
2011,676,0.1553
2011,678,1.0892025702742199
2012,9,0.06180259204837889
2012,11,0.05943131958629067
2012,13,0.02867606459383776
2012,15,0.030808520523594052
2012,17,0.03021614538681934
2012,19,0.028725120948234158
2012,21,0.02011904761904762
2012,22,0.01375
2012,23,0.01666654903067947
2012,26,0.0575
2012,33,0.02058421999728945
2012,36,0.10210000000000001
2012,37,0.1434460938197178
2012,39,1.4898106281138646
2012,40,0.8056771545466543
2012,41,0.5913020671705584
2012,42,5.735330112026691
2012,43,0.03358168427750061
2012,56,0.0202
2012,58,0.04383333333333333
2012,59,8.0
2012,60,0.05457959816831358
2012,61,0.0780018611714958
2012,62,1.2049629959875168
2012,65,0.04088970083374203
2012,84,1.680773336237883
2012,88,3.21
2012,89,0.573115625
2012,90,1.558510733298987
2012,91,0.09
2012,92,0.050914703562979426
2012,93,16.235129378060034
2012,94,0.07465266461573199
2012,96,0.0182362367171603
2012,97,0.01384368686868687
2012,98,0.0403
2012,105,0.1406
2012,110,0.006122562674094708
2012,127,0.03310179117518568
2012,128,0.020461309523809524
2012,136,0.03571428571428571
2012,139,0.01886164118617869
2012,140,0.11000000000000001
2012,141,0.07855555555555556
2012,142,0.6422222222222221
2012,143,0.07722222222222222
2012,144,0.06388888888888888
2012,562,1.1549
2012,566,0.023111111111111114
2012,567,0.034777777777777776
2012,568,0.023111111111111114
2012,583,2.4884325607317312
2012,590,0.15
2012,591,1.4737065652683952
2012,598,0.1335
2012,607,0.013888888888888888
2012,622,1.6882
2012,623,0.6876610028434705
2012,639,0.24486806349206347
2012,640,0.33766831778677076
2012,641,1.0
2012,646,0.0326
2012,671,1.45
2012,672,0.06855555555555555
2012,673,0.07066666666666667
2012,676,0.13972297142857143
2012,677,1.45
2012,678,1.0721105461352365
2012,679,2.95
2012,686,0.031651785714285716
2012,688,0.03395833333333333
2013,9,0.06282148973798135
2013,11,0.046919452957409916
2013,13,0.030157932692014056
2013,15,0.03430059523809524
2013,19,0.033098016197584235
2013,21,0.02011904761904762
2013,23,0.019763260423171915
2013,33,0.017499999999999998
2013,37,0.14059319324181627
2013,39,1.4166370559180286
2013,40,0.8238827534323866
2013,41,0.5120486179084244
2013,42,6.224112649932585
2013,43,0.02944816139929763
2013,56,0.00969968016697513
2013,60,0.06169787580338691
2013,61,0.10855985732814526
2013,65,0.0403
2013,84,0.9965382969751839
2013,91,0.09
